English,Chinese
"And in the last year alone, more than 30,000 people received treatment on the Friendship Bench from a grandmother in a community in Zimbabwe. ",（掌聲） 多謝 
"(Applause) And recently, we published this work that is done by these grandmothers in the Journal of the American Medical Association. ",（掌聲） 今日，我哋有幾百個婆婆 分散喺七十幾個社區度做嘢 
"And -- (Applause) And our results show that six months after receiving treatment from a grandmother, people were still symptom-free: no depression, suicidal ideation completely reduced. ",單單係舊年 已經有三萬以上嘅津巴布韋人 喺社區嘅「友誼長櫈」計劃度 接受咗一個婆婆嘅治療 
"In fact, our results -- this was a clinical trial -- in fact, this clinical trial showed that grandmothers were more effective at treating depression than doctors and -- (Laughter) (Applause) And so, we're now working towards expanding this program. ",（掌聲） 最近，我哋喺 美國醫學研究協會嘅雜誌 發表文章講述呢啲計劃同婆婆嘅工作 
There are more than 600 million people currently aged above 65 in the world. ,仲有 （掌聲） 我哋嘅研究結果顯示 接受過婆婆治療嘅病人 喺六個月後 依然無復發嘅徵像 無抑鬱 少咗好多自殺嘅傾向 
"And by the year 2050, there will be 1.5 billion people aged 65 and above. ",我哋嘅研究顯示 —— 呢個係臨床試驗 臨床試驗結果顯示 婆婆醫抑鬱症仲有效過醫生 （笑聲） （掌聲） 所以 我哋依家努力擴展呢個計劃 
"Imagine if we could create a global network of grandmothers in every major city in the world, who are trained in evidence-based talk therapy, supported through digital platforms, networked. ",依家，全球有六億 六十五歲以上嘅人口 
And they will make a difference in communities. ,到 2050 年 會有十五億 六十五歲以上嘅人口 
"They will reduce the treatment gap for mental, neurological and substance-use disorders. ","想像一下, 如果我哋能夠 喺全世界所有主要城市 建立一個國際婆婆網絡 而啲婆婆又受過 循證談話療法嘅訓練 有電子平台支援佢哋 又有網絡將佢哋聯繫起來 "
"Finally, this is a file photograph of Grandmother Jack. ",佢哋會為社區做出好多貢獻 
"So, Farai had six sessions on the bench with Grandmother Jack. ",佢哋會縮窄當地 心理、神經同濫用藥物問題上嘅 醫療供求差距 
"Today, Farai is employed. ",最後 呢張係 Jack 婆婆嘅相 
She has her two children at school. ,法拉喺「友誼長櫈」 同婆婆有六次療程 
"And as for Grandmother Jack, one morning in February, we expected her to see her 257th client on the bench. ",依家，法拉揾到工做 
She didn't show up. ,佢兩個仔女讀緊書 
She had gone to a greener pasture called heaven. ,至於 Jack 婆婆 喺二月嘅一個上晝 佢本來會嚟見佢第 257 位病人 
"But I believe that Grandmother Jack, from up there, she's cheering on all the other grandmothers -- the increasing number of grandmothers who are making a difference in the lives of thousands of people. ",但係佢無出現 
"And I'm sure she's in awe when she realizes that something that she helped to pioneer is now spreading to other countries, like Malawi, the island of Zanzibar and coming closer to home here in the Unites States in the city of New York. ",佢去咗天堂 
May her soul rest in peace. ,但我相信，Jack 婆婆 喺天堂同緊其他婆婆打氣 而且越來越多婆婆加入呢個計劃 改變千萬人嘅人生 
Thank you. ,我仲諗 Jack 婆婆一定會好驚嘆 佢帶頭開始嘅計劃 已經發展到其他國家 例如馬拉維 桑給巴爾群島 同埋呢度 美國嘅紐約市 
(Applause) (Cheering) (Applause) ,願 Jack 婆婆安息 
,多謝 
"My big idea is a very, very small idea that can unlock billions of big ideas that are at the moment dormant inside us. ",（掌聲） （歡呼） （掌聲） 
And my little idea that will do that is sleep. ,
(Laughter) (Applause) This is a room of type A women. ,我嘅大諗頭 喺一個非常，非常細嘅意見 可以釋放 數十億 目前喺我哋體內處於休眠狀態嘅大想法. 
This is a room of sleep-deprived women. ,我嘅意見就喺 瞓覺。 
And I learned the hard way the value of sleep. ,（笑聲） （掌聲） 依度有成屋嘅A型女性。 
"Two-and-a-half years ago, I fainted from exhaustion. ",依間屋有一班 唔夠瞓嘅女人。 
I hit my head on my desk. ,而且我從教訓中學習到， 睡眠嘅價值。 
"I broke my cheekbone, I got five stitches on my right eye. ",兩年半之前， 我攰到暈底咗。 
And I began the journey of rediscovering the value of sleep. ,我個頭撞咗落檯面，然後撞爆咗我嘅臉頰骨， 
"And in the course of that, I studied, I met with medical doctors, scientists, and I'm here to tell you that the way to a more productive, more inspired, more joyful life is getting enough sleep. ",我嘅右眼聯咗五針。 
"(Applause) And we women are going to lead the way in this new revolution, this new feminist issue. ",所以我開始重新 尋找睡眠嘅價值。 
"We are literally going to sleep our way to the top -- literally -- (Laughter) (Applause) because unfortunately, for men, sleep deprivation has become a virility symbol. ",喺依個過程裡面， 我研究， 我見咗醫生，科學家， 而我喺依度話比你聽 如果你想有更加高嘅效率， 更加多靈感，生活得更快活 你就要有足夠嘅睡眠。 
I was recently having dinner with a guy who bragged that he had only gotten four hours sleep the night before. ,(掌聲） 而我哋女人要帶領 一個新嘅革命，依種新嘅女權主義。 
"And I felt like saying to him -- but I didn't say -- I felt like saying, ""You know what? if you had gotten five, this dinner would have been a lot more interesting."" ",我哋簡直要用最好嘅方式瞓覺，確實咁做。 (笑聲) (掌聲) 因為不幸嘅喺， 對男人嚟講 唔夠瞓已經成為有男子氣概嘅象徵。 
(Laughter) There is now a kind of sleep deprivation one-upmanship. ,最近我同一個男人食晚飯， 佢吹噓佢每晚只得到 四個鐘頭嘅睡眠。 
"Especially here in Washington, if you try to make a breakfast date, and you say, ""How about eight o'clock?"" ",而且我覺得自己想同佢講 -- 但我冇講到-- 我覺得好似話：“你知道嗎？ 如果你瞓左五個鐘頭， 今次晚餐會變得有趣好多。“ 
"they're likely to tell you, ""Eight o'clock is too late for me, but that's OK, I can get a game of tennis in and do a few conference calls and meet you at eight."" ",(笑聲) 有一種唔夠瞓嘅情況 更勝人一籌。 
"And they think that means they are so incredibly busy and productive, but the truth is, they're not, because we, at the moment, have had brilliant leaders in business, in finance, in politics, making terrible decisions. ",特別喺華盛頓，如果你試圖搞一個早餐會， 然後你話，“八點可以嗎？“ 
"So a high IQ does not mean that you're a good leader, because the essence of leadership is being able to see the iceberg before it hits the Titanic. ",佢哋好可能話比你聽，“八點鐘已經喺太遲啦， 不過唔緊要，我可以打場網球 之後再講幾個電話會議，然後八點鐘再見你。“ 
(Laughter) And we've had far too many icebergs hitting our Titanics. ,佢地以為咁樣喺代表 佢哋喺難以置信嘅繁忙同有效率， 但事實上佢哋唔喺咁， 因為我哋依家， 有輝煌嘅領袖 喺商業、金融、政治， 做緊可怕嘅決定。 
"In fact, I have a feeling that if Lehman Brothers was Lehman Brothers and Sisters, they might still be around. ",因此，一個人有高智商 並唔代表佢喺一個好嘅領導人， 因為領導嘅本質 喺能夠喺鐵達尼號擊中冰山 之前已經見到冰山。 
"(Laughter) (Applause) While all the brothers were busy just being hyper-connected 24/7, maybe a sister would have noticed the iceberg, because she would have woken up from a seven-and-a-half- or eight-hour sleep, and have been able to see the big picture. ",而且我哋已經有太多嘅冰山 擊中鐵達尼號。 
"So as we are facing all the multiple crises in our world at the moment, what is good for us on a personal level, what's going to bring more joy, gratitude, effectiveness in our lives and be the best for our own careers, is also what is best for the world. ",事實上，我有一種感覺 如果雷曼兄弟 喺雷曼兄弟姐妹， 咁佢哋可能仍然存在。 
"So I urge you to shut your eyes, and discover the great ideas that lie inside us; to shut your engines and discover the power of sleep. ",(掌聲) 當所有兄弟都忙緊 被24 / 7超連接嘅時候， 也許一個姊妹會注意到冰山， 因為佢瞓左七個半或八個鐘頭，瞓醒 已經能夠睇到 全幅圖畫。 
Thank you. ,所以喺我哋世界嘅依刻， 當我哋面對 所有多重嘅危機， 咩喺個人層面上對我哋嚟講喺好嘅， 仲有啲乜嘢可以為我哋嘅生活 帶黎更多嘅快樂、感恩同成效， 可以最好甘幫到我哋嘅事業， 仲可以最幫到成個世界。 
(Applause) ,所以我希望你 閉上你嘅眼睛 去發掘喺我哋裡面 嘅新思維， 關閉你嘅引擎，發掘睡眠嘅力量。 
,多謝。 
"I would like to tell you all that you are all actually cyborgs, but not the cyborgs that you think. ",（掌聲） 
"You're not RoboCop, and you're not Terminator, but you're cyborgs every time you look at a computer screen or use one of your cell phone devices. ",
So what's a good definition for cyborg? ,我想同你哋講， 其實你哋都係半機械人， 不過唔係你哋念嘅果種半機械人。 
"Well, traditional definition is ""an organism to which exogenous components have been added for the purpose of adapting to new environments."" ",你哋唔係鐵甲威龍，亦都唔係終結者， 但係每次你望住個屏幕 或者用手機果陣，你就係一個半機械人。 
"That came from a 1960 paper on space travel, because, if you think about it, space is pretty awkward. ",甘點先為止正宗嘅半機械人呢？ 
People aren't supposed to be there. ,嗱，傳統嚟講就係 “一個有機體為咗適應新環衛 而被添加外部組件。” 
"But humans are curious, and they like to add things to their bodies so they can go to the Alps one day and then become a fish in the sea the next. ",呢種講法係源於1960年一篇記錄太空漫遊嘅文章。 因為你認真唸下，太空其實好可怕； 
So let's look at the concept of traditional anthropology. ,人類本嚟就唔應該係果度。 
"Somebody goes to another country, says, ""How fascinating these people are, how interesting their tools are, how curious their culture is."" ",不過人類都係好有奇心嘅，佢哋鐘意係自己身上加啲嘢， 所以總有一日佢地可以爬上阿爾卑斯山， 跟住另外一日又變成海底嘅一條魚。 
"And then they write a paper, and maybe a few other anthropologists read it, and we think it's very exotic. ",等我哋嚟睇下傳統概唸上嘅人類學係觀點。 
"Well, what's happening is that we've suddenly found a new species. ",有條友去咗另一個國家， 佢話：“呢度啲人真係神奇，佢哋嘅架撐真係得意， 距哋嘅文化好盞鬼。” 
"I, as a cyborg anthropologist, have suddenly said, ""Oh, wow. Now suddenly we're a new form of Homo sapiens, and look at these fascinating cultures, and look at these curious rituals that everybody's doing around this technology. ",跟住佢地係張紙度寫咗啲也，或者咁啱有幾個人類學家睇度， 我哋就會覺得呢單也靈舍有異國情調。 
"They're clicking on things and staring at screens."" ",而同時發生嘅係我哋突然發現咗 一個新品種。 
"Now there's a reason why I study this, versus traditional anthropology. ",我，作為一個研究半機械人嘅人類學家，實會話： “哇，依家我哋突然間成為咗新新人類啦。 過嚟睇下呢啲引人入勝嘅文化， 再睇下呢啲令人好奇嘅儀式， 個個都圍繞呢項技術做嘢。 
"And the reason is that tool use, in the beginning -- for thousands and thousands of years, everything has been a physical modification of self. ",佢哋一路點擊，一路望著個屏幕。” 
"It has helped us to extend our physical selves, go faster, hit things harder, and there's been a limit on that. ",我之所以去研究呢樣也， 而唔係傳統人類學係有原因嘅。 
"But now what we're looking at is not an extension of the physical self, but an extension of the mental self, and because of that, we're able to travel faster, communicate differently. ",因為工具嘅使用， 係一開始，經過咗千萬年， 所有也都係人類挪嚟改造自身。 
And the other thing that happens is that we're all carrying around little Mary Poppins technology. ,工具幫助我哋擴展自身嘅技能， 令我哋跑得更快，錘嘢錘得更有力， 雖然一切都有個限度。 
"We can put anything we want into it, and it doesn't get heavier, and then we can take anything out. ",但係依家我哋睇度嘅唔係人類自身技能嘅擴展， 而係心智嘅延伸。 由於咁，我哋可以走得更快， 更多元化咁交流。 
What does the inside of your computer actually look like? ,第二件發生哽嘅嘢就係 我哋都隨身攜帶住Mary Poppins嘅技術。 
"Well, if you print it out, it looks like a thousand pounds of material that you're carrying around all the time. ",我地可以將任何野擺在我地想放噶任何地方，唔重咖， 然之後又可以從入面挪距出來。 
"And if you actually lose that information, it means that you suddenly have this loss in your mind, that you suddenly feel like something's missing, except you aren't able to see it, so it feels like a very strange emotion. ",你台電腦入面究竟有啲咩呢？ 
The other thing that happens is that you have a second self. ,嗱，如果你將佢打印出嚟，就好似你要運輸 成千磅重嘅信息材料。 
"Whether you like it or not, you're starting to show up online, and people are interacting with your second self when you're not there. ",而且，如果你真係唔見咗果啲信息， 你個心就會覺得突然之間冇咗一啲嘢， 就好似突然之間感覺失去咗一啲嘢， 除非你無辦法見度呢啲嘢，距就好似D好奇怪噶感覺。 
"And so you have to be careful about leaving your front lawn open, which is basically your Facebook wall, so that people don't write on it in the middle of the night -- because it's very much the equivalent. ",另外一件發生咗嘅嘢就係你擁有第二個自己。 
And suddenly we have to start to maintain our second self. ,無論你鐘唔鍾意，你都開始係線上出現， 當你唔係果度， 人哋就開始同第二個你交流， 
You have to present yourself in digital life in a similar way that you would in your analog life. ,咁你就要小心， 唔好輕易開放你嘅第一道防線， 基本上嚟講就係你嘅Facebook， 唔好比人哋係深夜係上面寫嘢， 因為呢個效果同現實生活係好大程度上係等價嘅。 
"So, in the same way that you wake up, take a shower and get dressed, you have to learn to do that for your digital self. ",所以突然之間，我哋開始維護第二個自己， 
"And the problem is that a lot of people now, especially adolescents, have to go through two adolescences. ",你不得不以一種你係現實中呈現嘅方式 相似咁係數碼生活中呈現。 
"They have to go through their primary one, that's already awkward, and then they go through their second self's adolescence, and that's even more awkward because there's an actual history of what they've gone through online. ",就好似你起身，冲個涼，著衫， 你一樣要學識係數碼生活中去做同樣嘅也。 
"And anybody coming in new to technology is an adolescent online right now, and so it's very awkward, and it's very difficult for them to do those things. ",不過問題在於家陣好多人， 尤其係青少年， 需要經歷兩個青春期。 
"So when I was little, my dad would sit me down at night and he would say, ""I'm going to teach you about time and space in the future."" ",佢哋要經歷第一個青春期已經好唔容易， 依家仲要經歷自己第二個青春期。 咁就更加之難。 因為係呢個真實嘅網絡歷史入面 佢哋經歷都會被記錄。 
"And I said, ""Great."" ",依家每個啱開始接觸新科技嘅人， 都係網上嘅青少年。 所以，要佢地去做果啲嘢 係好奇怪同埋困難嘅。 
"And he said one day, ""What's the shortest distance between two points?"" ",係我好細個果陣，夜晚我老窦會叫我坐低跟住同我講： “我要教你一樣關於未來時間同空間嘅嘢。” 
"And I said, ""Well, that's a straight line. You told me that yesterday."" ",我話：“好啊！” 
I thought I was very clever. ,有一日佢問我：“兩點之間最短嘅距離係咩？” 
"He said, ""No, no, no. Here's a better way."" ",我話：“哦，直線啰。你琴日係咁同我講嘅。” 
"He took a piece of paper, drew A and B on one side and the other and folded them together so where A and B touched. ",我唸住我好醒目， 
"And he said, ""That is the shortest distance between two points."" ",點知佢話：“唔啱，唔啱，呢個先係更短嘅路徑。” 
"And I said, ""Dad, dad, dad, how do you do that?"" ",佢挪咗一張紙， 係一面寫咗個A，另外一面寫咗個B， 跟住折埋兩邊令到A掂到B。 
